Andre Wisdom,24,0
Ben Foster,28,0
Boaz Myhill,11,0
Brown Ideye,24,4
Callum McManaman,8,0
Chris Baird,19,0
Chris Brunt,34,2
Claudio Yacob,20,0
Craig Dawson,29,2
Craig Gardner,35,3
Cristian Gamboa,10,0
Darren Fletcher,15,1
Gareth McAuley,24,1
Georgios Samaras,5,0
Graham Dorrans,21,1
James Morrison,33,2
Jason Davidson,2,0
Joleon Lescott,34,1
Jonas Olsson,13,1
Saido Berahino,38,14
Sebastián Blanco,3,0
Sébastien Pocognoli,15,0
Stéphane Sessegnon,28,1
Varela,7,1
Victor Anichebe,21,3
Youssuf Mulumbu,17,0
