Ben Foster,G,2,0,0,0
Tomasz Kuszczak,G,3,1,0,0
Edwin van der Sar,G,33,0,0,0
Wes Brown,D,6,2,1,0
Rafael,D,12,4,1,0
Ritchie De Laet,D,1,0,0,0
Jonathan Evans,D,16,1,0,0
Patrice Evr,D,28,0,0,2
Rio Ferdinand,D,24,0,0,0
Gary Neville,D,13,3,0,0
John O'Shea,D,20,10,0,3
Nemanja Vidic,D,33,1,4,1
Michael Carrick,M,24,4,4,5
Darren Fletcher,M,25,1,3,0
Darron Gibson,M,1,2,1,0
Ryan Giggs,M,15,13,2,7
Owen Hargreaves,M,1,1,0,0
Nani,M,7,6,1,2
Anderson,M,11,6,0,0
Park Ji-Sung,M,21,4,2,2
Paul Scholes,M,14,7,2,2
Zoran Tosic,M,0,2,0,0
Dimitar Berbatov,F,29,3,9,9
Federico Macheda,F,2,2,2,1
Wayne Rooney,F,25,5,12,7
Danny Welbeck,F,1,2,1,0
