Adnan Januzaj,M,49,5,2013,NA,NA,NA
Alan Smith,F,61,7,2003,2007,7000000,6000000
Alexander Buttner,D,13,2,2012,2014,3900000,4400000
Ander Herrera,M,49,9,2014,NA,29000000,NA
Anders Lindegaard,G,19,0,2010,2015,3500000,Free
Anderson,M,100,5,2007,2014,15000000,Free
Andreas Pereira,M,5,0,2014,NA,NA,NA
Anthony Martial,F,28,8,2015,NA,35000000,NA
Antonio Valencia,D,172,13,2009,NA,16000000,NA
Ashley Young,M,107,10,2011,NA,17000000,NA
Bastian Schweinsteiger,M,18,1,2015,NA,6500000,NA
Bebe,F,2,0,2010,2014,7400000,2400000
Ben Amos,G,1,0,2011,2015,NA,Released
Ben Foster,G,12,0,2005,2010,1000000,6000000
Cameron Borthwick-Jackson,D,8,0,2015,NA,NA,NA
Carlos Tevez,F,34,14,2007,2009,9000000,Free
Chris Eagles,M,6,1,2006,2008,NA,1250000
Chris Smalling,D,131,6,2010,NA,10000000,NA
Corry Evans,M,0,0,2009,2011,NA,500000
Cristiano Ronaldo,M,162,66,2003,2009,12200000,80000000
Daley Blind,D,57,3,2014,NA,13800000,NA
Danny Simpson,D,3,0,2007,2009,NA,500000
Danny Welbeck,F,90,20,2008,2014,NA,16000000
Darren Fletcher,M,211,18,2003,2014,NA,Free
Darron Gibson,M,30,3,2008,2011,NA,2000000
David Bellion,F,24,4,2003,2005,2000000,Undisclosed
David De Gea,G,131,0,2011,NA,18900000,NA
Diego Forlan,F,24,4,2001,2004,6900000,2000000
Dimitar Berbatov,F,109,48,2008,2012,30750000,4000000
Donald Love,D,1,0,2015,NA,NA,NA
Edwin van der Sar,G,186,0,2005,NA,2000000,NA
Eric Djemba-Djemba,M,15,0,2003,2004,3500000,1350000
Ezekiel Fryers,D,2,0,2011,2012,NA,Free
Fabio,D,21,1,2007,2013,2600000,Nominal
Fangzhou Dong,F,1,0,2006,NA,NA,NA
Federico Macheda,F,16,4,2008,2014,NA,Free
Kieran Richardson,M,24,1,2002,2007,Unknown,5500000
Gabriel Heinze,D,52,1,2003,2007,6900000,8000000
Gabriel Obertan,M,14,0,2009,2011,3000000,3000000
Gary Neville,D,133,2,2003,NA,NA,NA
Gerard Piqu,D,12,0,2005,NA,NA,NA
Giuseppe Rossi,F,5,1,2004,NA,200000,NA
Gullermo Varela,D,4,0,2015,NA,NA,NA
James Weir,M,1,0,2015,NA,NA,NA
James Wilson,F,14,3,2013,NA,NA,NA
Javier Hernandez,F,101,37,2010,2015,6000000,12000000
Jesse Lingard,M,21,4,2015,NA,NA,NA
John O'Shea,D,215,10,2003,2011,NA,4500000
Jonny Evans,D,131,4,2008,2015,NA,8000000
Kleberson,M,20,2,2003,2005,5930000,2500000
Juan Mata,M,95,20,2013,NA,37100000,NA
Kieran Lee,D,1,0,2006,2007,NA,Free
Liam Miller,M,9,0,2003,2006,Free,Free
Louis Saha,F,106,41,2003,2008,12820000,Signed
Luke Shaw,D,21,0,2014,NA,27000000,NA
Mame Biram Diouf,F,5,1,2009,2011,2000000,1500000
Marcos Rojo,D,35,0,2014,NA,16000000,NA
Marcus Rashford,F,8,4,2015,NA,NA,NA
Marouane Fellaini,M,63,7,2013,NA,27500000,NA
Matteo Darmian,D,27,1,2015,NA,12700000,NA
Memphis Depay,F,26,2,2015,NA,25000000,NA
Michael Carrick,M,287,17,2006,NA,18600000,NA
Michael Owen,F,31,5,2009,2012,Free,Released
Mikael Silvestre,D,118,4,1999,NA,4000000,NA
Morgan Schneiderlin,M,27,1,2015,NA,24000000,NA
Nani,M,146,25,2007,2015,13500000,4250000
Nemanja Vidic,D,211,15,2005,2014,7000000,Released
Angel Di Maria,M,27,3,2014,2015,59700000,44300000
Nick Powell,F,2,1,2012,NA,6000000,NA
Ole Gunnar Solskjaer,F,35,7,2003,NA,NA,NA
Owen Hargreaves,M,27,2,2007,NA,17000000,NA
Park Ji-Sung,M,133,20,2005,2012,4000000,2500000
Patrice Evra,D,273,7,2005,2014,5500000,1500000
Patrick McNair,D,24,0,2014,NA,NA,NA
Paul Pogba,M,3,0,2009,2012,Nominal,Free
Paul Scholes,M,238,38,2011,2013,Free,Retired
Phil Jones,D,105,2,2011,NA,17000000,NA
Phil Neville,D,49,0,2003,2005,NA,3500000
Phillip Bardsley,D,8,0,2005,NA,NA,NA
Quinton Fortune,M,39,0,1999,2006,1500000,Free
Radamel Falcao,F,26,4,2014,NA,NA,NA
Rafael,D,109,5,2008,2015,NA,2500000
Rio Ferdinand,D,283,7,2002,2014,27550000,Released
Ritchie De Laet,D,3,0,2008,2012,Undisclosed,1000000
Robin van Persie,F,86,48,2012,2015,NA,4200000
Roy Carroll,G,6,0,2001,2004,2500000,Free
Roy Keane,M,58,4,1993,2005,3750000,Free
Ruud van Nistelrooy,F,48,26,2003,2006,NA,10300000
Ryan Giggs,M,290,35,2003,2014,NA,Released
Sergio Romero,G,4,0,2015,NA,Free,NA
Shinji Kagawa,M,38,6,2012,2014,12000000,7000000
Tim Howard,G,44,0,2003,2006,2300000,3000000
Timothy Fosu-Mensah,D,7,0,2015,NA,NA,NA
Tom Cleverley,M,54,3,2011,NA,NA,NA
Tom Lawrence,F,1,0,2013,2014,NA,1000000
Tomasz Kuszczak,G,32,0,2007,2012,2150000,Free
Victor Valdes,G,2,0,2014,NA,Free,NA
Wayne Rooney,F,364,177,2004,NA,27000000,NA
Wes Brown,D,149,3,2003,2011,NA,1200000
William Keane,F,2,0,2011,NA,NA,NA
Zoran Tosic,M,2,0,2008,2010,5000000,7000000
