Alan Blayney,G,1,0,0,0
Antti Niemi,G,28,0,0,0
Michael Poke,G,0,0,0,0
Paul Smith,G,5,1,0,0
Chris Baird,D,0,0,0,0
Stephen Crainey,D,--,--,--,--
Martin Cranie,D,3,0,0,0
Danny Higginbotham,D,20,1,1,0
Andreas Jakobsson,D,24,3,2,0
Darren Kenton,D,9,0,0,1
Claus Lundekvam,D,33,1,0,0
Matthew Mills,D,--,--,--,--
Darren Powell,D,--,--,--,--
Tim Sparv,D,--,--,--,--
Michael Svensson,D,--,--,--,--
Feliciano Condesso,M,--,--,--,--
Rory Delap,M,34,3,2,4
Fabrice Fernandes,M,14,2,0,3
Yoann Folly,M,1,2,0,0
Leandre Griffit,M,0,2,0,0
Neil McCann,M,5,6,0,2
Mikael Per Benny Nilsson,M,12,4,0,1
Matt Oakley,M,6,1,1,0
David Prutton,M,19,4,1,2
Nigel Quashie,M,13,0,1,0
Andrew Surman,M,--,--,--,--
Paul Telfer,M,26,4,0,1
Dennis Wise,M,--,--,--,--
Eddie Anaclet,F,--,--,--,--
Leon Best,F,1,2,0,0
Dexter Blackstock,F,8,1,1,0
Peter Crouch,F,18,9,12,7
Kenwyne Jones,F,1,1,0,0
Brett Ormerod,F,5,4,0,0
Marians Pahars,F,--,--,--,--
