Aaron Lennon,M,258,26,2005
Adel Taarabt,M,7,0,2007
Alan Hutton,D,51,2,2007
Alex Pritchard,M,1,0,2013
Andros Townsend,M,42,3,2013
Andy Reid,F,26,1,2004
Anthony Gardner,D,75,0,2003
Ben Alnwick,G,1,0,2009
Ben Davies,D,14,0,2014
Benjamin Stambouli,M,12,0,2014
Calum Davenport,D,4,0,2005
Benoit Assou-Ekotto,D,125,3,2006
Brad Friedel,G,50,0,2011
Calum Davenport,D,1,0,2004
Ben Davies,D,15,0,2015
Cameron Lancaster,F,1,0,2011
Carlo Cudicini,G,21,0,2008
Chris Gunter,D,2,0,2007
Christian Eriksen,M,95,23,2013
Clint Dempsey,F,29,7,2012
Clinton Njie,F,7,0,2015
Danny Murphy,M,22,2,2005
Danny Rose,D,88,6,2009
Darren Bent,F,61,18,2007
David Bentley,M,40,3,2008
Dean Marney,M,8,2,2003
Dean Richards,D,23,0,2003
DeAndre Yedlin,D,1,0,2014
Dele Alli,M,33,10,2015
Didier Zokora,M,59,0,2006
Dimitar Berbatov,F,69,27,2006
Edgar Davids,M,31,1,2005
Eidur Gudjohnsen,F,11,1,2009
Emmanuel Adebayor,F,92,35,2011
Eric Dier,M,62,5,2014
Erik Edman,D,28,1,2004
Erik Lamela,M,73,6,2013
Etienne Capoue,M,24,1,2013
Ezekiel Fryers,D,7,0,2013
Federico Fazio,D,20,0,2014
Frederic Kanout,F,59,14,2003
Gareth Bale,M,147,42,2007
Gary Doherty,D,17,0,2003
Gilberto Melo,D,7,1,2007
Giovani dos Santos,F,16,0,2008
Goran Bunjevcevic,D,10,0,2003
Grzegorz Rasiak,F,8,0,2005
Gylfi Sigurdsson,M,58,8,2012
Harry Kane,F,79,48,2013
Heurelho Gomes,G,95,0,2008
Helder Postiga,F,19,1,2003
Hossam Ghaly,M,21,1,2006
Hossam Mido,F,21,3,2005
Hugo Lloris,G,133,0,2012
Jake Livermore,M,35,0,2011
Adel Taarabt,M,2,0,2006
Jamie O'Hara,M,34,2,2007
Wayne Routledge,M,3,0,2005
Jamie Redknapp,M,17,1,2003
Jan Vertonghen,D,115,4,2012
Jermain Defoe,F,228,75,2003
Jermaine Jenas,M,154,21,2005
Johnnie Jackson,M,19,1,2003
Jonathan Woodgate,D,65,2,2007
Josh Onomah,M,7,0,2015
Kasey Keller,G,38,0,2003
Kevin-Prince Boateng,M,14,0,2007
Kieran Trippier,D,6,1,2015
Kyle Naughton,D,37,0,2009
Kyle Walker,D,146,4,2009
Kevin Wimmer,D,10,0,2015
Ledley King,D,189,9,2003
Lee Barnard,F,3,0,2005
Lee Young-Pyo,D,70,0,2005
Lewis Holtby,M,11,0,2012
Louis Saha,F,28,4,2011
Luka Modric,M,127,13,2008
Mark Yeates,F,3,0,2003
Mauricio Taricco,D,32,1,2003
Mbulelo Mabizela,D,6,1,2003
Michael Brown,M,41,2,2003
Michael Carrick,M,64,2,2004
Michael Dawson,D,237,7,2004
Michel Vorm,G,5,0,2014
Milos Veljkovic,D,2,0,2013
Moussa Dembele,M,88,5,2012
Nabil Bentaleb,M,46,0,2013
Nacer Chadli,M,85,15,2013
Niko Kranjcar,M,49,9,2009
Noe Pamarot,D,23,1,2004
Noureddine Naybet,D,27,1,2004
Pascal Chimbonda,D,81,3,2006
Paul Robinson,G,137,0,2004
Paul Stalteri,D,39,2,2005
Paulinho,M,45,6,2013
Roman Pavlyuchenko,F,29,9,2010
Pedro Mendes,M,24,1,2004
Peter Crouch,F,34,4,2010
Philip Ifil,D,3,0,2004
Radek Cerny,G,16,0,2004
Rafael Van der Vaart,M,61,24,2010
Reto Ziegler,D,23,1,2004
Ricardo Rocha,D,14,0,2006
Robbie Keane,F,201,78,2003
Roberto Soldado,F,52,7,2013
Rohan Ricketts,M,24,1,2003
Roman Pavlyuchenko,F,44,10,2008
Ryan Mason,M,50,2,2014
Ryan Nelsen,D,6,0,2011
Sandro,M,81,3,2010
Scott Parker,M,50,0,2011
Sean Davis,M,15,0,2004
Sebastien Bassong,D,40,2,2009
Simon Davies,M,17,2,2003
Son Heung-Min,M,25,2,2015
Steed Malbranque,M,62,6,2006
Stephen Carr,D,32,1,2003
Stephen Kelly,D,28,2,2003
Steven Caulker,D,18,2,2012
Steven Pienaar,M,26,1,2010
Teemu Tainio,M,61,3,2005
Thomas Carroll,M,25,1,2012
Toby Alderweireld,D,35,4,2015
Tom Huddlestone,M,144,8,2005
Vedran Corluka,D,81,2,2008
Vlad Chiriches,D,27,0,2013
William Gallas,D,61,1,2010
Wilson Palacios,M,86,1,2008
Younes Kaboul,D,99,6,2007
