Year,Num,Fee,G,D,M,F,Status,Team,Pos,Scored,Conceded,Diff,Pts
2015,12,82600000,1,4,4,3,In,Liverpool,8,59,48,11,55
2015,10,59350000,1,3,2,4,Out,Liverpool,8,59,48,11,55
2014,10,117000000,0,4,2,4,In,Liverpool,8,59,48,11,55
2014,8,73870000,1,5,0,2,Out,Liverpool,8,59,48,11,55
2013,9,48800000,1,5,2,1,In,Liverpool,6,52,48,4,62
2013,8,28500000,0,2,3,3,Out,Liverpool,6,52,48,4,62
2012,8,47800000,0,2,3,3,In,Liverpool,6,52,48,4,62
2012,8,8000000,1,1,5,1,Out,Liverpool,6,52,48,4,62
2011,8,56400000,2,2,4,0,In,Liverpool,2,101,50,51,84
2011,10,19300000,0,5,3,2,Out,Liverpool,2,101,50,51,84
2010,14,80000000,1,4,4,5,In,Liverpool,2,101,50,51,84
2010,5,83100000,0,0,4,1,Out,Liverpool,2,101,50,51,84
2009,11,36000000,0,6,3,2,In,Liverpool,7,71,43,28,61
2009,8,39800000,0,5,2,1,Out,Liverpool,7,71,43,28,61
2008,3,35500000,0,1,1,2,In,Liverpool,7,71,43,28,61
2008,6,30250000,1,1,2,3,Out,Liverpool,7,71,43,28,61
2007,8,66400000,0,2,4,2,In,Liverpool,8,47,40,7,52
2007,8,29900000,2,0,4,2,Out,Liverpool,8,47,40,7,52
2006,7,26040000,1,2,5,0,In,Liverpool,8,47,40,7,52
2006,10,11600000,1,2,4,2,Out,Liverpool,8,47,40,7,52
2005,10,34900000,1,3,3,3,In,Liverpool,6,59,44,15,58
2005,9,13500000,1,2,3,3,Out,Liverpool,6,59,44,15,58
2004,11,39800000,1,1,5,3,In,Liverpool,6,59,44,15,58
2004,4,10500000,0,1,2,1,Out,Liverpool,6,59,44,15,58
2003,4,10500000,1,1,1,1,In,Liverpool,7,61,35,26,63
2003,0,6250000,0,0,0,1,Out,Liverpool,7,61,35,26,63
2002,5,22700000,0,1,2,2,In,Liverpool,7,61,35,26,63
2002,0,57500000,0,1,1,0,Out,Liverpool,7,61,35,26,63
