Adam Bogdan,G,1,0,2015,NA,NA,NA
Connor Randall,D,2,0,2015,NA,NA,NA
Danny Ings,F,5,2,2015,NA,NA,NA
James Milner,M,27,5,2015,NA,NA,NA
Jordan Rossiter,M,1,0,2015,NA,NA,NA
Sheyi Ojo,M,4,0,2015,NA,NA,NA
Steven Caulker,D,6,0,2015,NA,NA,NA
Javier Manquillo,D,10,0,2014,2015,NA,NA
Kevin Stewart,D,4,0,2014,NA,NA,NA
Aly Cissokho,D,15,0,2013,2014,NA,NA
Brad Smith,D,3,0,2013,NA,NA,NA
Joao Carlos Teixeira,M,2,0,2013,NA,NA,NA
Kolo Toure,D,45,1,2013,NA,NA,NA
Andre Wisdom,D,14,0,2012,NA,NA,NA
Conor Coady,D,1,0,2012,2014,NA,370000
Jordon Ibe,M,37,0,2012,NA,NA,NA
Doni,G,4,0,2011,2012,NA,NA
Raheem Sterling,M,95,18,2011,2015,NA,35200000
Dani Pacheco,F,1,0,2010,2013,NA,NA
Jack Robinson,D,2,0,2010,2014,NA,1000000
Joe Cole,M,20,2,2010,2012,NA,NA
Jon Flanagan,D,38,1,2010,NA,NA,NA
Milan Jovanovic,F,10,0,2010,2011,NA,NA
Paul Konchesky,D,16,0,2010,2011,NA,1500000
Suso,F,14,0,2010,2014,NA,1000000
Daniel Ayala,D,5,0,2009,2011,NA,800000
Daniel Pacheco,F,4,0,2009,2013,NA,NA
Fabio Aurelio,D,87,3,2006,2009,NA,NA
Jay Spearing,M,30,0,2009,2013,NA,2000000
Martin Kelly,D,33,0,2009,2014,NA,1500000
Maxi Rodriguez,M,57,15,2009,2012,NA,NA
Nathan Eccleston,F,2,0,2009,2012,NA,NA
Philipp Degen,D,7,0,2009,2011,NA,NA
Stephen Darby,D,1,0,2009,2012,NA,NA
Andriy Voronin,F,19,5,2007,2009,NA,1800000
Damien Plessis,M,3,0,2007,NA,NA,NA
Daniele Padelli,G,1,0,2006,2007,NA,NA
Boudewijn Zenden,M,7,2,2005,2007,NA,NA
Jack Hobbs,D,2,0,2005,2009,NA,NA
Jan Kromkamp,D,13,0,2005,2006,NA,1500000
Robbie Fowler,F,14,5,2005,2001,NA,11000000
Antonio Nunez,M,18,0,2004,2005,NA,NA
Darren Potter,M,2,0,2004,2006,NA,250000
David Raven,SUB,1,0,2004,2006,NA,NA
Neil Mellor,F,9,2,2004,2006,NA,250000
Stephen Warnock,M,39,1,2004,2006,NA,1500000
Jamie Carragher,D,314,1,1996,2013,NA,NA
John Welsh,D,4,0,2002,2005,NA,NA
Michael Owen,F,29,16,1996,2004,NA,8000000
Steven Gerrard,M,367,104,1998,2015,NA,NA
