Year,Pos,Team,GF,GA,GD,Pts
2003,9,Manchester City,47,54,7,51
2004,16,Manchester City,55,54,1,41
2005,8,Manchester City,47,39,8,52
2006,15,Manchester City,43,48,5,43
2007,14,Manchester City,29,44,15,42
2008,9,Manchester City,45,53,8,55
2009,10,Manchester City,58,50,8,50
2010,5,Manchester City,73,45,28,67
2011,3,Manchester City,60,33,+27,71
2012,1,Manchester City,93,29,+64,89
2013,2,Manchester City,66,34,+32,78
2014,1,Manchester City,102,37,+65,86
2015,2,Manchester City,83,38,+45,79
2016,4,Manchester City,68,38,30,64
